,MRP,Processor,RAM_size,bit,SSD_Storage,OS,RAM_Type,Display
369,54300,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
372,36400,AMD Ryzen 3 Dual Core Processor,8,64,256 GB ,Windows 11,DDR4,39.62
373,28590,Intel Core i3 Processor,4,64,256 GB ,Windows 10,DDR4,39.62
374,69999,AMD Ryzen 5 Hexa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
375,301990,Intel Core i9 Processor,32,64,1 TB ,Windows 11,DDR5,39.62
378,37000,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,38.1
379,64990,Intel Core i5 Processor,16,64,512 GB ,Windows 10,DDR4,35.56
382,42690,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,38.0
383,140990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
384,38990,Intel Core i3 Processor,4,64,256 GB ,Windows 10,DDR4,38.1
385,128990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
386,54999,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
388,60130,Intel Core i5 Processor,8,64,256 GB ,Windows 10,DDR4,39.62
389,29490,Intel Pentium Silver Processor,8,64,256 GB ,Windows 11,DDR4,35.56
390,72490,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
392,73990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
393,47130,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
394,55600,AMD Ryzen 7 Octa Core Processor,8,64,512 GB ,Windows 10,DDR4,35.56
396,49690,AMD Ryzen 5 Quad Core Processor,8,64,512 GB ,Windows 10,DDR4,35.56
397,239990,Intel Core i7 Processor,32,64,1 TB ,Windows 11,DDR5,39.62
398,73990,Intel Core i5 Processor,16,64,512 GB ,Windows 10,DDR4,39.62
400,52490,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 10,DDR4,35.56
401,41990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
402,29990,Intel Pentium Quad Core Processor,8,64,256 GB ,Windows 11,DDR4,35.56
404,50490,Intel Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,35.56
405,96490,Intel Core i7 Processor,16,64,512 GB ,Windows 10,DDR4,39.62
408,74990,Intel Core i5 Processor,16,64,512 GB ,Windows 10,DDR4,35.56
409,51990,Intel Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,39.62
412,71345,AMD Ryzen 5 Hexa Core Processor,8,64,256 GB ,Windows 10,DDR4,39.62
413,101490,Intel Core i7 Processor,16,64,1 TB ,Windows 10,DDR4,39.62
414,274990,Intel Core i7 Processor,32,64,1 TB ,Windows 11,DDR5,39.62
415,199990,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
418,41090,Intel Core i3 Processor,8,64,256 GB ,Windows 10,DDR4,35.56
419,50499,Intel Core i5 Processor,8,64,256 GB ,Windows 10,DDR4,39.62
422,78950,AMD Ryzen 7 Octa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
423,67990,AMD Ryzen 5 Hexa Core Processor,16,64,512 GB ,Windows 11,DDR4,35.56
424,187990,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 11,DDR4,39.62
425,102990,Intel Core i7 Processor,16,64,1 TB ,Windows 10,DDR4,35.56
428,35990,Intel Core i3 Processor,4,64,256 GB ,Windows 11,DDR4,39.62
429,52575,AMD Ryzen 5 Quad Core Processor,8,64,512 GB ,Windows 10,DDR4,39.62
432,50990,AMD Ryzen 5 Quad Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
433,60125,Intel Core i5 Processor,16,64,512 GB ,Windows 10,DDR4,39.62
434,26490,Intel Celeron Dual Core Processor,4,64,256 GB ,Windows 10,DDR4,35.56
435,80249,AMD Ryzen 7 Octa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
438,129999,Intel Core i5 Processor,28,64,128 GB ,Windows 10,DDR4,39.62
439,76990,AMD Ryzen 7 Octa Core Processor,8,64,1 TB ,Windows 10,DDR4,35.56
442,36990,Intel Core i3 Processor,8,64,512 GB ,Windows 10,DDR4,39.62
443,107790,Intel Core i7 Processor,16,64,512 GB ,Windows 10,DDR4,39.62
444,75990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
445,95990,Intel Core i5 Processor,16,64,512 GB ,Windows 10,DDR4,35.56
448,61999,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
449,28990,Intel Celeron Dual Core Processor,8,64,256 GB ,Windows 11,DDR4,35.56
